EcoScores_v2_ALL
Material,Variant,Category,Eco_Score_1best_10worst,,,,,,Certifications,Notes,Source_URL
Cotton,Conventional (global avg),Natural plant fiber,6,,,,,,—,Higher agrochemical & water inputs; big regional variance.,https://textileexchange.org/
Cotton,Conventional (irrigated/high-stress),Natural plant fiber,7,,,,,,—,Blue-water scarcity risk high; chemical load.,https://quantis.com/
Cotton,Conventional (rain-fed/low-stress),Natural plant fiber,5,,,,,,—,Lower blue-water use; still fertilizer/pesticides.,https://textileexchange.org/
Cotton,Organic (global avg),Natural plant fiber,4,,,,,,"GOTS, OCS",Reduced synthetic chemistry; lower GHG vs conventional.,https://soilassociation.org/
Cotton,Organic (rain-fed),Natural plant fiber,3,,,,,,"GOTS, OCS",Avoids irrigation in many regions; very strong profile.,https://textileexchange.org/
Cotton,Fairtrade Organic,Natural plant fiber,3,,,,,,"Fairtrade, GOTS",Organic agronomy + social standards.,https://www.fairtrade.net/
Cotton,BCI / Better Cotton (improved practices),Natural plant fiber,5,,,,,,BCI,Practice improvements; not organic; chemistry still present.,https://support.worldly.io/
Cotton,Transitional / In-Conversion,Natural plant fiber,4,,,,,,"In-Conversion, OCS",Lower inputs than conventional; not fully organic yet.,https://textileexchange.org/
Cotton,Regenerative (verified programs),Natural plant fiber,3,,,,,,Various regen verifications,"Soil health, reduced inputs; program/region-specific.",https://kering.com/
Cotton,ELS / Supima (conventional),Natural plant fiber,5,,,,,,Supima (quality label),Longevity benefits; irrigation common.,https://supima.com/
Cotton,Mechanically Recycled,Natural plant fiber (recycled),2,,,,,,RCS,Avoids farming; fiber shortening; often blended.,https://textileexchange.org/
Cellulosic (recycled),"Chemically recycled cellulose (e.g., Circulose® pulp)",Man‑made cellulosic (recycled),3,,,,,,GRS/RCS (pulp supply),Closed‑loop dissolving pulp from textile waste.,https://renewcell.com/
Linen (Flax),EU flax / standard,Natural plant fiber,2,,,,,,European Flax®,"Often rain‑fed, low inputs; durable & biodegradable.",https://europeanflax.com/
